,Rk,Player,Squad,Pos,Age,Min,90s,DefensivePoint,AttackingPoint,Diff,Total,Rank
421,422,Jacob Ramsey,Aston Villa,"MF,FW",0.91,0.73,29.3,0.64,0.57,0.94,2.58,1
312,313,Alexis Mac Allister,Brighton,MF,0.74,0.86,32.1,0.31,0.46,0.84,2.44,2
76,77,Moisés Caicedo,Brighton,MF,0.95,0.94,34.9,0.77,0.32,0.49,2.38,3
253,254,Brennan Johnson,Nott'ham Forest,"FW,MF",0.91,0.89,32.6,0.04,0.43,0.57,2.37,4
550,551,Joe Willock,Newcastle Utd,MF,0.84,0.7,28.4,0.52,0.73,0.8,2.34,5
307,308,Sean Longstaff,Newcastle Utd,MF,0.64,0.69,28.0,0.35,0.38,0.98,2.31,6
484,485,Dominic Solanke,Bournemouth,"FW,MF",0.64,0.84,31.8,0.33,0.5,0.82,2.3,7
377,378,Matheus Nunes,Wolves,MF,0.74,0.64,27.4,0.56,0.48,0.92,2.3,8
242,243,Alex Iwobi,Everton,"MF,FW",0.4,1.0,37.5,0.44,0.56,0.89,2.29,9
197,198,Morgan Gibbs-White,Nott'ham Forest,"MF,FW",0.84,0.9,33.0,0.13,0.58,0.5,2.2399999999999998,10
384,385,Michael Olise,Crystal Palace,"FW,MF",0.95,0.8,30.5,0.45,0.91,0.48,2.23,11
65,66,Jarrod Bowen,West Ham,"FW,MF",0.52,0.95,35.9,0.37,0.61,0.75,2.2199999999999998,12
214,215,Bruno Guimarães,Newcastle Utd,MF,0.64,0.8,30.3,0.61,0.39,0.77,2.21,13
133,134,Kiernan Dewsbury-Hall,Leicester City,MF,0.74,0.57,25.6,0.65,0.54,0.9,2.21,14
341,342,Dwight McNeil,Everton,"FW,MF",0.84,0.67,27.8,0.8,0.52,0.7,2.21,15
173,174,Enzo Fernández,Chelsea,MF,0.91,0.29,17.2,0.5,0.49,0.99,2.19,16
189,190,Conor Gallagher,Chelsea,MF,0.84,0.31,18.0,0.74,0.74,1.0,2.15,17
309,310,Douglas Luiz,Aston Villa,MF,0.64,0.88,32.5,0.57,0.24,0.63,2.15,18
438,439,Rodri,Manchester City,MF,0.4,0.87,32.3,0.66,0.51,0.84,2.11,19
0,1,Brenden Aaronson,Leeds United,"MF,FW",0.91,0.61,26.4,0.17,0.55,0.58,2.1,20
221,222,Kai Havertz,Chelsea,"FW,MF",0.74,0.71,28.5,0.43,0.75,0.65,2.0999999999999996,21
248,249,Mathias Jensen,Brentford,MF,0.4,0.83,31.1,0.46,0.29,0.81,2.04,23
428,429,Declan Rice,West Ham,MF,0.74,0.98,36.4,0.9,0.35,0.37,2.09,22
251,252,Joelinton,Newcastle Utd,"MF,FW",0.52,0.74,29.6,0.86,0.61,0.73,1.99,24
510,511,Youri Tielemans,Leicester City,MF,0.52,0.6,26.0,0.59,0.44,0.85,1.97,25
392,393,Dango Ouattara,Bournemouth,"MF,FW",0.95,0.1,13.8,0.76,0.62,0.87,1.92,27
426,427,Harrison Reed,Fulham,MF,0.29,0.85,31.8,0.51,0.3,0.79,1.9300000000000002,26
165,166,Eberechi Eze,Crystal Palace,"MF,FW",0.64,0.73,29.3,0.19,0.6,0.54,1.9100000000000001,28
291,292,Roméo Lavia,Southampton,MF,1.0,0.56,24.7,0.69,0.09,0.35,1.9100000000000001,29
236,237,Pierre Højbjerg,Tottenham,MF,0.4,0.94,34.8,0.79,0.39,0.56,1.9,30
416,417,Pedro Porro,Tottenham,"DF,MF",0.84,0.07,12.6,0.73,0.78,0.97,1.88,32
398,399,Lucas Paquetá,West Ham,MF,0.64,0.51,23.9,0.67,0.43,0.74,1.8900000000000001,31
