Rk,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Brenden Aaronson,"MF,FW",Leeds United,21,2000,26.4,1.7,0.68,0.61,0.83,0.27,0.57,1.74,32.6,1.17,1.63,0.11,1.52,0.19,1.89,0.23,0.04
2,George Abbott,MF,Tottenham,16,2005,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
3,Che Adams,FW,Southampton,26,1996,22.1,0.77,0.59,0.32,0.36,0.09,0.32,0.54,58.3,0.23,0.59,0.18,0.41,0.18,0.95,1,0
4,Tyler Adams,MF,Leeds United,23,1999,24,3.71,1.92,1.83,1.46,0.42,2.08,3.21,64.9,1.13,2,0.33,1.67,1.46,5.17,1.21,0
5,Tosin Adarabioyo,DF,Fulham,24,1997,23.2,1.29,0.56,0.95,0.26,0.09,0.69,0.99,69.6,0.3,0.86,0.65,0.22,1.12,2.41,6.03,0.04
6,Nayef Aguerd,DF,West Ham,26,1996,17.7,1.53,1.02,1.02,0.45,0.06,0.73,1.13,65,0.4,1.47,1.36,0.11,1.02,2.54,4.46,0.11
7,Naouirou Ahamada,"MF,FW",Crystal Palace,20,2002,1,3,2,3,0,0,1,3,33.3,2,2,0,2,0,3,0,0
8,Rayan Aït Nouri,DF,Wolves,21,2001,12,2.75,1.67,2.08,0.58,0.08,0.75,1.25,60,0.5,0.25,0,0.25,0.75,3.5,2.33,0
9,Kristoffer Ajer,DF,Brentford,24,1998,8.5,1.29,0.94,0.59,0.47,0.24,1.06,1.88,56.3,0.82,0.71,0.59,0.12,0.82,2.12,2.59,0
10,Manuel Akanji,DF,Manchester City,27,1995,25.4,1.42,0.98,0.59,0.71,0.12,0.91,1.42,63.9,0.51,1.06,0.35,0.71,0.63,2.05,1.3,0
11,Nathan Aké,DF,Manchester City,27,1995,20.8,1.25,0.58,0.72,0.43,0.1,0.53,0.72,73.3,0.19,0.96,0.48,0.48,0.96,2.21,2.31,0
12,Marc Albrighton,"FW,MF",Leicester City,32,1989,2.6,1.54,0.38,0,0.77,0.77,0.38,3.08,12.5,2.69,2.31,0.77,1.54,0.38,1.92,1.92,0
13,Thiago Alcántara,MF,Liverpool,31,1991,13.9,3.09,1.73,1.44,1.51,0.14,1.01,1.65,60.9,0.65,1.08,0.22,0.86,1.51,4.6,0.94,0.14
14,Carlos Alcaraz,"MF,FW",Southampton,19,2002,11.4,0.88,0.44,0.18,0.61,0.09,0.53,1.93,27.3,1.4,1.23,0.44,0.79,0.09,0.96,0.96,0
15,Trent Alexander-Arnold,DF,Liverpool,23,1998,32.5,1.75,1.23,0.98,0.49,0.28,1.29,2.43,53.2,1.14,0.77,0.22,0.55,1.32,3.08,1.26,0.06
