Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GlsPer90,AstPer90,G+APer90,G-PKPer90,G+A-PKPer90,xGPer90,xAGPer90,xG+xAGPer90,npxGPer90,npxG+xAGPer90
1,Brenden Aaronson,"MF,FW",Leeds United,21,2000,36,28,2372,26.4,1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43,86,151,0.04,0.11,0.15,0.04,0.15,0.15,0.16,0.31,0.15,0.31
2,George Abbott,MF,Tottenham,16,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Che Adams,FW,Southampton,26,1996,28,23,1992,22.1,5,3,8,5,0,0,1,0,6.6,6.6,2.8,9.4,17,34,115,0.23,0.14,0.36,0.23,0.36,0.3,0.13,0.42,0.3,0.42
4,Tyler Adams,MF,Leeds United,23,1999,24,24,2156,24,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20,0,0,0,0,0,0,0.06,0.06,0,0.06
5,Tosin Adarabioyo,DF,Fulham,24,1997,25,23,2085,23.2,1,0,1,1,0,0,4,0,0.7,0.7,0.4,1.1,16,95,3,0.04,0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05
6,Nayef Aguerd,DF,West Ham,26,1996,18,17,1595,17.7,2,0,2,2,0,0,4,0,2.2,2.2,0.5,2.7,2,25,4,0.11,0,0.11,0.11,0.11,0.13,0.03,0.15,0.13,0.15
7,Naouirou Ahamada,"MF,FW",Crystal Palace,20,2002,8,0,94,1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0,0,0,0,0,0.15,0.07,0.22,0.15,0.22
8,Rayan Aït Nouri,DF,Wolves,21,2001,21,9,1076,12,1,0,1,1,0,0,4,0,0.7,0.7,1,1.7,30,43,76,0.08,0,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14
9,Kristoffer Ajer,DF,Brentford,24,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0,0,0,0.1,10,31,12,0,0,0,0,0,0,0,0.01,0,0.01
10,Manuel Akanji,DF,Manchester City,27,1995,29,24,2287,25.4,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,24,116,17,0,0.04,0.04,0,0.04,0.05,0.02,0.07,0.05,0.07
11,Nathan Aké,DF,Manchester City,27,1995,26,22,1873,20.8,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,25,140,30,0.05,0,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11
12,Marc Albrighton,"FW,MF",Leicester City,32,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,7,18,0.38,0,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48
13,Thiago Alcántara,MF,Liverpool,31,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24,0,0,0,0,0,0.03,0.08,0.11,0.03,0.11
14,Carlos Alcaraz,"MF,FW",Southampton,19,2002,18,13,1029,11.4,4,2,6,4,0,0,3,0,1.9,1.9,0.7,2.6,20,28,32,0.35,0.17,0.52,0.35,0.52,0.17,0.06,0.23,0.17,0.23
